hsv,frame
[0. 0. 0. ... 0. 0. 0.],489
[5.1805e+04 2.7000e+01 0.0000e+00 ... 0.0000e+00 0.0000e+00 0.0000e+00],1269
[1.4552e+04 1.4400e+02 4.0000e+00 ... 0.0000e+00 0.0000e+00 0.0000e+00],1677
[5146.  228.  104. ...    0.    0.    0.],1851
[17417.    43.    30. ...     0.     0.     0.],1967
[39667.  5430.   447. ...     0.     0.     0.],2134
[5018.  151.   91. ...    0.    0.    0.],2308
[1325. 1370.  161. ...    0.    0.    0.],2446
[1734.   10.    2. ...    0.    0.    0.],2561
[10605.  1430.    38. ...     0.     0.     0.],2678
[4211.  849.  224. ...    0.    0.    0.],2790
[3146.   82.   42. ...    0.    0.    0.],2869
"[1.70437e+05 1.00000e+01 1.40000e+01 ... 0.00000e+00 0.00000e+00
 0.00000e+00]",3499
[3.6864e+04 1.0530e+03 2.6000e+01 ... 0.0000e+00 0.0000e+00 0.0000e+00],4335
[10442.   733.   347. ...     0.     0.     0.],5015
[30523.   902.   301. ...     0.     0.     0.],5512
[19402.  1420.   386. ...     0.     0.     0.],5605
[5.264e+04 8.200e+01 1.800e+01 ... 0.000e+00 0.000e+00 0.000e+00],5680
[41973.   444.    67. ...     0.     0.     0.],5764
[6.5077e+04 2.3500e+02 1.0000e+01 ... 0.0000e+00 0.0000e+00 0.0000e+00],5875
[4.9681e+04 7.4700e+02 3.0000e+01 ... 0.0000e+00 0.0000e+00 0.0000e+00],6052
[40361.   167.    42. ...     0.     0.     0.],6238
[32355.   670.   461. ...     0.     0.     0.],6612
[42591.  2382.   212. ...     0.     0.     0.],7009
[20824.   820.   521. ...     0.     0.     0.],7158
[41486.  2938.   342. ...     0.     0.     0.],7236
[19256.   863.   425. ...     0.     0.     0.],7334
[31391.  1051.   832. ...     0.     0.     0.],7528
[24689.  4508.   365. ...     0.     0.     0.],7681
[5.4199e+04 1.6000e+02 1.0000e+01 ... 0.0000e+00 0.0000e+00 0.0000e+00],7719
[2.8885e+04 2.5800e+02 4.0000e+00 ... 0.0000e+00 0.0000e+00 0.0000e+00],7763
[31841.  1214.    76. ...     0.     0.     0.],7869
[19386.   581.   255. ...     0.     0.     0.],8025
[19070.  9158.  1555. ...     0.     0.     0.],8137
[2.796e+04 2.890e+02 2.500e+01 ... 0.000e+00 0.000e+00 0.000e+00],8245
[18352.   576.   283. ...     0.     0.     0.],8456
[1.6673e+04 3.0000e+00 0.0000e+00 ... 0.0000e+00 0.0000e+00 0.0000e+00],8645
[22944.  1621.  3175. ...     0.     0.     0.],8802
[17501.   159.    87. ...     0.     0.     0.],8997
[8446. 3694. 1537. ...    0.    0.    0.],9120
[11031.  5407.   452. ...     0.     0.     0.],9250
[41564.  6942.   130. ...     0.     0.     0.],9367
[34439.  1665.   248. ...     0.     0.     0.],9402
[29699. 16566.   380. ...     0.     0.     0.],9437
[51445.  1596.   212. ...     0.     0.     0.],9560
[27760. 17031.   402. ...     0.     0.     0.],9694
[62505.  5176.   612. ...     0.     0.     0.],9807
[881.  43.  89. ...   0.   0.   0.],10035
[19619.   154.    93. ...     0.     0.     0.],10245
[7065.  154.  122. ...    0.    0.    0.],10380
[688. 341. 193. ...   0.   0.   0.],10514
[17579.   120.   119. ...     0.     0.     0.],10607
[9707.  713.   64. ...    0.    0.    0.],10773
[1800.  504.  582. ...    0.    0.    0.],11254
[4.804e+03 7.700e+01 2.000e+00 ... 0.000e+00 0.000e+00 0.000e+00],11920
[3599.  139.   33. ...    0.    0.    0.],12343
[1482.  403.   36. ...    0.    0.    0.],12502
[4281.  371.   86. ...    0.    0.    0.],13219
[2111.  614. 1112. ...    0.    0.    0.],14539
[1154.  916.  772. ...    0.    0.    0.],15690
[2309.  627.  149. ...    0.    0.    0.],16278
[682. 629. 673. ...   0.   0.   0.],16438
[2314. 1015.  224. ...    0.    0.    0.],16632
[1038.  368.  167. ...    0.    0.    0.],16819
[4361. 1030.  112. ...    0.    0.    0.],16956
[3727. 1449.   74. ...    0.    0.    0.],17227
[5635. 1034.   98. ...    0.    0.    0.],17453
[2662.  502.   41. ...    0.    0.    0.],17567
[12779.   152.   107. ...     0.     0.     0.],17765
[98. 61. 50. ...  0.  0.  0.],17930
[7560. 1260.  253. ...    0.    0.    0.],18338
[43. 33. 63. ...  0.  0.  0.],18790
[6435.  213.  104. ...    0.    0.    0.],18950
[5224.   73.   17. ...    0.    0.    0.],19378
[0. 0. 0. ... 0. 0. 0.],19812
[410. 359. 172. ...   0.   0.   0.],20181
[10.  0.  0. ...  0.  0.  0.],20530
[ 62. 415. 160. ...   0.   0.   0.],20713
[218.   0.   4. ...   0.   0.   0.],20926
[467. 469. 282. ...   0.   0.   0.],21098
[4123.  257.  120. ...    0.    0.    0.],21271
[ 30. 248.  44. ...   0.   0.   0.],21393
[282. 392. 123. ...   0.   0.   0.],21484
[459. 501.  18. ...   0.   0.   0.],21584
[402. 458. 231. ...   0.   0.   0.],21681
[130. 224.  26. ...   0.   0.   0.],21763
[290. 449. 238. ...   0.   0.   0.],21827
[569. 121.  33. ...   0.   0.   0.],21904
[271. 618. 203. ...   0.   0.   0.],22016
[127.  82.  39. ...   0.   0.   0.],22125
[6720.   45.   13. ...    0.    0.    0.],22197
[479. 283.  46. ...   0.   0.   0.],22280
[1039.  327.  269. ...    0.    0.    0.],22543
[36.  0.  0. ...  0.  0.  0.],22808
[1073.  396.  232. ...    0.    0.    0.],22893
[1.329e+03 1.000e+00 3.000e+00 ... 0.000e+00 0.000e+00 0.000e+00],23025
[2618.  265.  262. ...    0.    0.    0.],23197
[ 0.  0. 17. ...  0.  0.  0.],23321
[1325.  868.  336. ...    0.    0.    0.],23409
[0. 0. 0. ... 0. 0. 0.],23506
[2146.  894.  144. ...    0.    0.    0.],23767
[44. 92.  3. ...  0.  0.  0.],24027
[10. 57. 50. ...  0.  0.  0.],24176
[3115.  159.  165. ...    0.    0.    0.],24534
[0. 0. 0. ... 0. 0. 0.],24885
[2031.  259.  161. ...    0.    0.    0.],25477
[487.   2.  25. ...   0.   0.   0.],26036
[10073.   224.   257. ...     0.     0.     0.],26143
[3726.  227.  125. ...    0.    0.    0.],26228
[10869.   289.   217. ...     0.     0.     0.],26339
[3269.  228.  124. ...    0.    0.    0.],26447
[9013.  243.  181. ...    0.    0.    0.],26743
[4326.  369.  164. ...    0.    0.    0.],27029
[9654.  287.  257. ...    0.    0.    0.],27171
[3683.  381.  213. ...    0.    0.    0.],27334
[12148.   439.   247. ...     0.     0.     0.],27430
[3019.  325.  167. ...    0.    0.    0.],27547
[1160.  266.  197. ...    0.    0.    0.],27679
[3667.  286.  144. ...    0.    0.    0.],27839
[1698.  329.   94. ...    0.    0.    0.],27966
[6361.  384.  234. ...    0.    0.    0.],28032
[35. 97. 65. ...  0.  0.  0.],28227
[4366.  296.  124. ...    0.    0.    0.],28441
[158. 131. 109. ...   0.   0.   0.],28648
[408. 284. 137. ...   0.   0.   0.],28879
[694. 463. 115. ...   0.   0.   0.],29296
[182.  56. 116. ...   0.   0.   0.],29664
