frame_start,frame_end,mpoint
0,978,489
979,1560,1269
1561,1794,1677
1795,1907,1851
1908,2026,1967
2027,2241,2134
2242,2374,2308
2375,2517,2446
2518,2605,2561
2606,2750,2678
2751,2829,2790
2830,2908,2869
2909,4090,3499
4091,4580,4335
4581,5450,5015
5451,5573,5512
5574,5637,5605
5638,5723,5680
5724,5805,5764
5806,5945,5875
5946,6158,6052
6159,6318,6238
6319,6906,6612
6907,7112,7009
7113,7203,7158
7204,7268,7236
7269,7399,7334
7400,7657,7528
7658,7704,7681
7705,7734,7719
7735,7791,7763
7792,7946,7869
7947,8104,8025
8105,8169,8137
8170,8320,8245
8321,8591,8456
8592,8699,8645
8700,8905,8802
8906,9088,8997
9089,9151,9120
9152,9349,9250
9350,9385,9367
9386,9418,9402
9419,9456,9437
9457,9664,9560
9665,9724,9694
9725,9889,9807
9890,10180,10035
10181,10310,10245
10311,10449,10380
10450,10578,10514
10579,10635,10607
10636,10911,10773
10912,11597,11254
11598,12243,11920
12244,12443,12343
12444,12561,12502
12562,13876,13219
13877,15201,14539
15202,16178,15690
16179,16377,16278
16378,16499,16438
16500,16764,16632
16765,16874,16819
16875,17037,16956
17038,17416,17227
17417,17489,17453
17490,17645,17567
17646,17885,17765
17886,17975,17930
17976,18701,18338
18702,18879,18790
18880,19021,18950
19022,19734,19378
19735,19889,19812
19890,20472,20181
20473,20587,20530
20588,20839,20713
20840,21012,20926
21013,21183,21098
21184,21359,21271
21360,21426,21393
21427,21542,21484
21543,21625,21584
21626,21737,21681
21738,21789,21763
21790,21864,21827
21865,21943,21904
21944,22088,22016
22089,22161,22125
22162,22232,22197
22233,22328,22280
22329,22758,22543
22759,22857,22808
22858,22928,22893
22929,23121,23025
23122,23272,23197
23273,23370,23321
23371,23448,23409
23449,23564,23506
23565,23970,23767
23971,24084,24027
24085,24267,24176
24268,24801,24534
24802,24969,24885
24970,25984,25477
25985,26088,26036
26089,26197,26143
26198,26259,26228
26260,26418,26339
26419,26476,26447
26477,27010,26743
27011,27048,27029
27049,27293,27171
27294,27374,27334
27375,27486,27430
27487,27607,27547
27608,27750,27679
27751,27927,27839
27928,28004,27966
28005,28060,28032
28061,28394,28227
28395,28488,28441
28489,28807,28648
28808,28950,28879
28951,29641,29296
29642,29687,29664
29688,29756,29722
29757,29922,29839
29923,30050,29986
30051,30171,30111
30172,30247,30209
30248,30323,30285
30324,30400,30362
30401,30563,30482
30564,30596,30580
30597,30738,30667
30739,30861,30800
30862,30933,30897
30934,31369,31151
31370,31485,31427
31486,31538,31512
31539,31582,31560
31583,31618,31600
31619,31706,31662
31707,31762,31734
31763,31796,31779
31797,32190,31993
32191,32306,32248
32307,32677,32492
32678,32744,32711
32745,32825,32785
32826,32978,32902
32979,33018,32998
33019,33200,33109
33201,33327,33264
33328,33381,33354
33382,33468,33425
33469,33641,33555
33642,33739,33690
33740,33830,33785
33831,33940,33885
33941,34239,34090
34240,34385,34312
34386,34545,34465
34546,34674,34610
34675,34770,34722
34771,34878,34824
34879,35022,34950
35023,35172,35097
35173,35288,35230
35289,35387,35338
35388,35482,35435
35483,35789,35636
35790,37631,36710
37632,38680,38156
38681,38899,38790
38900,39001,38950
39002,39117,39059
39118,39244,39181
39245,39528,39386
39529,40261,39895
40262,40325,40293
40326,40479,40402
40480,40551,40515
40552,40682,40617
40683,40930,40806
40931,41141,41036
41142,41413,41277
41414,41585,41499
41586,41867,41726
41868,42046,41957
42047,42187,42117
42188,42334,42261
42335,42649,42492
42650,42717,42683
42718,43866,43292
43867,43944,43905
43945,44330,44137
44331,44907,44619
44908,45861,45384
45862,45968,45915
45969,46052,46010
46053,46219,46136
46220,46378,46299
46379,46495,46437
46496,46535,46515
46536,46589,46562
46590,46715,46652
46716,47318,47017
47319,47358,47338
47359,47400,47379
47401,47443,47422
47444,47501,47472
47502,47561,47531
47562,47664,47613
47665,48118,47891
48119,49527,48823
49528,49646,49587
49647,50523,50085
50524,50761,50642
50762,50911,50836
50912,51410,51161
51411,52537,51974
52538,52763,52650
52764,53284,53024
53285,53624,53454
53625,53837,53731
53838,53944,53891
53945,54120,54032
54121,54158,54139
54159,54487,54323
54488,54700,54594
54701,54948,54824
54949,55207,55078
55208,55494,55351
55495,55754,55624
55755,55860,55807
