dominant_colors,frame
['#a8aaa8' '#989997' '#8f9190' '#b6b9b8' '#868988'],489
['#949294' '#07090b' '#0f0a06' '#271912' '#4b3d37'],1269
['#311f18' '#afafaf' '#5e4f4c' '#0a0a0a' '#20130d'],1677
['#342420' '#514642' '#787471' '#aeb1ac' '#130e0d'],1851
['#706e72' '#0f090a' '#9ba1a2' '#524347' '#341e1d'],1967
['#463f42' '#0e0e0e' '#aeada2' '#262226' '#726c6c'],2134
['#585452' '#8c989d' '#27150d' '#100c08' '#402c1f'],2308
['#b1aeb2' '#695a55' '#473930' '#160f0a' '#2d2019'],2446
['#9a999d' '#676468' '#473a3c' '#3a1e18' '#190b09'],2561
['#0d0d0d' '#261c1a' '#63595d' '#9595a2' '#403230'],2678
['#493e3f' '#100d0c' '#2e211e' '#b6adab' '#746a6b'],2790
['#160d0b' '#524444' '#3a2118' '#756d76' '#a2a0a6'],2869
['#000202' '#c0c2c6' '#0040c2' '#0040c2' '#0040c2'],3499
['#5b524e' '#08080f' '#2a201b' '#030303' '#0a0c09'],4335
['#12191d' '#6f6560' '#040807' '#333236' '#d5dbe0'],5015
['#65494f' '#0a0f10' '#2f323e' '#a76b6b' '#d18787'],5512
['#18181b' '#5d6879' '#080908' '#443942' '#29242b'],5605
['#b2a7a2' '#444657' '#8f7f7a' '#090b0f' '#a0928a'],5680
['#514547' '#2e3032' '#bfbfbf' '#0b0b0b' '#969090'],5764
['#060a08' '#080c11' '#0a0e08' '#a79d9d' '#322d27'],5875
['#20202a' '#080908' '#1d1010' '#544139' '#3d1e15'],6052
['#7d7672' '#382f28' '#0a0a05' '#06070a' '#030303'],6238
['#ad9c9b' '#272a2e' '#020409' '#726a6a' '#070d10'],6612
['#07090b' '#2f2620' '#040a06' '#5c4d3e' '#151410'],7009
['#060b0c' '#202122' '#5d5c5b' '#c4dde4' '#3b393b'],7158
['#4c3e32' '#28221c' '#060a08' '#8b7258' '#14130f'],7236
['#212224' '#c4dde4' '#3c3c3c' '#070b0a' '#5c5e5c'],7334
['#060b0c' '#a39089' '#26292a' '#141818' '#5a5554'],7528
['#625758' '#1c1e22' '#3d393f' '#978a80' '#070b0a'],7681
['#574c54' '#030406' '#7f7070' '#26252f' '#aa9a94'],7719
['#a99794' '#1b2336' '#03060a' '#635761' '#e7ded8'],7763
['#060a08' '#4a3e38' '#332a24' '#1f1a16' '#9fa3a4'],7869
['#4e4844' '#666b6a' '#2b292a' '#070b0a' '#c5e1e7'],8025
['#49413e' '#8f878d' '#262722' '#0a0b0d' '#131512'],8137
['#483d34' '#9eabae' '#060a06' '#332a20' '#1e1b14'],8245
['#070b0a' '#2a2829' '#666b6a' '#c5e3ea' '#4d4846'],8456
['#1f3238' '#6d7c82' '#445659' '#9dabaf' '#020608'],8645
['#847973' '#4f4b4c' '#292b2d' '#090d0f' '#b39f99'],8802
['#9a9c9c' '#cacecb' '#656164' '#090a0c' '#3a3739'],8997
['#6e645f' '#a49897' '#0d0d0d' '#4b4543' '#322e2d'],9120
['#1b1d24' '#3b3846' '#090b0f' '#605864' '#948c8a'],9250
['#0a0b0d' '#6f4237' '#161917' '#0f100e' '#262321'],9367
['#494745' '#7a7270' '#2e2726' '#615e5b' '#0a0b0d'],9402
['#26201d' '#07090b' '#171714' '#6c5253' '#10120f'],9437
['#05070c' '#070b0a' '#4b3e39' '#887470' '#211d18'],9560
['#111310' '#07090b' '#24211d' '#775a5b' '#161814'],9694
['#191916' '#c2b1b5' '#090a0c' '#715754' '#372e28'],9807
['#e8e1e5' '#5b4a52' '#8f8289' '#1e1d1d' '#a2959c'],10035
['#958d97' '#403835' '#bfbabc' '#6d5b5b' '#0a0d0d'],10245
['#0e1013' '#9e98a1' '#dadce0' '#4e393b' '#786c75'],10380
['#5a4440' '#b3afb2' '#eeeeee' '#8b8084' '#191f21'],10514
['#3e3735' '#978e9b' '#6e5c5f' '#0a0d0d' '#d3d2d6'],10607
['#0a0a0a' '#1d1411' '#605754' '#43352e' '#2c1e1b'],10773
['#9b9ba8' '#e1e3e7' '#736c77' '#4b3b3f' '#1b1a1c'],11254
['#462f29' '#2f1e1a' '#0f0c0d' '#5c4d51' '#806b71'],11920
['#3f2c28' '#23140e' '#0d0d0a' '#5c5258' '#9d8285'],12343
['#38231a' '#9a766f' '#5f4333' '#160e0e' '#eae5e6'],12502
['#0d0d0d' '#21120d' '#7e717b' '#584545' '#392520'],13219
['#382822' '#696f6c' '#120e0d' '#c0bec1' '#504744'],14539
['#311d17' '#b8a19f' '#170c0d' '#786361' '#4f372b'],15690
['#8e6051' '#cba8b3' '#161110' '#36251e' '#574032'],16278
['#4d3b32' '#c2a5a1' '#171010' '#372018' '#736160'],16438
['#32231d' '#997d7d' '#4f3b2f' '#130f0e' '#815134'],16632
['#2e2624' '#6f574d' '#1d1411' '#a37d79' '#4e3a2c'],16819
['#100f16' '#885239' '#a98e93' '#3d2922' '#4f4454'],16956
['#2f211c' '#a38a93' '#101113' '#6f574e' '#4e392e'],17227
['#524a5c' '#8a5339' '#ad9497' '#0f1015' '#3d2b24'],17453
['#ae8787' '#765e58' '#131011' '#39241c' '#564035'],17567
['#6f615e' '#d8d3ce' '#a69a99' '#0d1012' '#363432'],17765
['#786663' '#3e2d29' '#9e9394' '#c1bab8' '#f4f4f4'],17930
['#111111' '#d7d6ca' '#a8a59a' '#76645e' '#403230'],18338
['#8e8283' '#afaaac' '#6d5756' '#352723' '#ebeeed'],18790
