frame,num_faces,num_people,largest_face,largest_body,shot_length,objects,people
489,0,0,0.0,0.0,1-VLS,,
1269,0,0,0.0,0.0,1-VLS,,
1677,0,0,0.0,0.0,1-VLS,boat,
1851,0,0,0.0,0.0,1-VLS,,
1967,4,0,0.24791666666666667,0.0,5-MCU,,
2134,0,0,0.0,0.0,1-VLS,,
2308,0,0,0.0,0.0,1-VLS,,
2446,1,0,0.3104166666666667,0.0,6-CU,,
2561,2,0,0.15416666666666667,0.0,4-MS,dog; person,
2678,2,0,0.26666666666666666,0.0,5-MCU,tie,
2790,1,0,0.12291666666666666,0.0,3-MLS,person,
2869,0,2,0.0,0.26875,1-VLS,person,
3499,0,0,0.0,0.0,1-VLS,,
4335,0,0,0.0,0.0,1-VLS,,
5015,0,0,0.0,0.0,1-VLS,,
5512,0,1,0.0,0.9895833333333334,1-VLS,person,
5605,0,1,0.0,0.9645833333333333,1-VLS,person,
5680,0,1,0.0,0.975,1-VLS,person,
5764,0,0,0.0,0.0,1-VLS,person,
5875,0,0,0.0,0.0,1-VLS,car,
6052,2,1,0.32708333333333334,0.9520833333333333,6-CU,person,
6238,0,0,0.0,0.0,1-VLS,person,
6612,1,2,0.08958333333333333,0.8229166666666666,3-MLS,person,
7009,1,0,0.06041666666666667,0.0,3-MLS,,
7158,1,0,0.05416666666666667,0.0,3-MLS,,
7236,1,0,0.075,0.0,3-MLS,,
7334,0,0,0.0,0.0,1-VLS,person,
7528,3,4,0.08958333333333333,0.925,3-MLS,person,
7681,0,0,0.0,0.0,1-VLS,,
7719,0,0,0.0,0.0,1-VLS,,
7763,0,0,0.0,0.0,1-VLS,dog; person,
7869,0,0,0.0,0.0,1-VLS,,
8025,1,0,0.04791666666666667,0.0,2-LS,,
8137,1,1,0.05625,0.5895833333333333,3-MLS,person,
8245,0,0,0.0,0.0,1-VLS,,
8456,0,0,0.0,0.0,1-VLS,,
8645,0,0,0.0,0.0,1-VLS,,
8802,1,1,0.08958333333333333,0.8520833333333333,3-MLS,person,
8997,1,1,0.06458333333333334,0.5166666666666667,3-MLS,chair; person,
9120,1,0,0.08958333333333333,0.0,3-MLS,couch; person,
9250,0,1,0.0,0.9645833333333333,1-VLS,person,
9367,0,0,0.0,0.0,1-VLS,,
9402,0,0,0.0,0.0,1-VLS,,
9437,0,1,0.0,0.8583333333333333,1-VLS,person,
9560,0,0,0.0,0.0,1-VLS,,
9694,1,0,0.13541666666666666,0.0,3-MLS,person,
9807,5,1,0.2375,0.88125,5-MCU,person; tie,
10035,0,0,0.0,0.0,1-VLS,,
10245,2,1,0.6354166666666666,0.88125,7-BCU,person; tie,
10380,2,2,0.16458333333333333,0.88125,4-MS,person; tie,
10514,2,2,0.47291666666666665,0.9520833333333333,6-CU,person,
10607,1,1,0.275,0.875,5-MCU,person; tie,
10773,1,0,0.11875,0.0,3-MLS,cup; tv,
11254,1,2,0.18541666666666667,0.9166666666666666,4-MS,book; person,
11920,1,4,0.12708333333333333,0.9291666666666667,3-MLS,person,
12343,4,2,0.28541666666666665,0.925,5-MCU,person; tie,
12502,2,4,0.11041666666666666,0.34375,3-MLS,person,
13219,4,1,0.29791666666666666,0.8583333333333333,5-MCU,person; tie,
14539,1,2,0.2375,0.9229166666666667,5-MCU,person,
15690,5,2,0.21666666666666667,0.8958333333333334,5-MCU,person; tie,
16278,5,2,0.058333333333333334,0.325,3-MLS,parking meter; person,
16438,7,4,0.2604166666666667,0.9270833333333334,5-MCU,person; tie,
16632,2,6,0.0375,0.6854166666666667,2-LS,person,
16819,2,2,0.5395833333333333,0.9729166666666667,7-BCU,person,
16956,4,6,0.05625,0.8104166666666667,3-MLS,bottle; person; skateboard,
17227,1,2,0.48541666666666666,0.9833333333333333,6-CU,book; person,
17453,3,6,0.0625,0.8083333333333333,3-MLS,person,
17567,1,2,0.5833333333333334,0.9666666666666667,7-BCU,person; toothbrush,
17765,3,4,0.1,0.90625,3-MLS,handbag; person; potted plant,
17930,1,1,0.3541666666666667,0.9,6-CU,person; tie,
18338,4,5,0.1,0.9020833333333333,3-MLS,person; potted plant,
18790,2,1,0.3416666666666667,0.9104166666666667,6-CU,book; person; tie,
18950,4,4,0.11041666666666666,0.9229166666666667,3-MLS,handbag; person,
19378,0,1,0.0,0.8708333333333333,1-VLS,book; chair; person,
19812,0,1,0.0,0.5375,1-VLS,person,
20181,0,1,0.0,0.9895833333333334,1-VLS,book; person; tie,
20530,0,0,0.0,0.0,1-VLS,person,
20713,1,2,0.5708333333333333,0.99375,7-BCU,person; tie,
20926,0,1,0.0,0.5375,1-VLS,person,
21098,5,3,0.1875,0.8020833333333334,4-MS,person,
21271,3,2,0.0875,0.8583333333333333,3-MLS,book; chair; person,
21393,1,1,0.3375,0.9291666666666667,6-CU,book; chair; fork; person; tie,
21484,2,1,0.4625,0.8979166666666667,6-CU,person; tie,
21584,1,1,0.33541666666666664,0.89375,6-CU,book; chair; person; tie,
21681,2,1,0.48125,0.9166666666666666,6-CU,person; tie,
21763,1,1,0.32083333333333336,0.9479166666666666,6-CU,book; chair; person; tie,
21827,2,1,0.4395833333333333,0.89375,6-CU,person; tie,
21904,1,1,0.3020833333333333,0.9875,6-CU,car; person; tie,
22016,2,2,0.4791666666666667,0.8916666666666667,6-CU,person,
22125,1,1,0.3458333333333333,0.93125,6-CU,person; tie,
22197,0,0,0.0,0.0,1-VLS,clock; person,
22280,4,2,0.09375,0.6333333333333333,3-MLS,person,
22543,3,2,0.49166666666666664,0.9854166666666667,6-CU,cup; person; tie,
22808,0,0,0.0,0.0,1-VLS,person,
22893,3,2,0.4875,0.98125,6-CU,cup; person; tie,
23025,0,0,0.0,0.0,1-VLS,person,
23197,1,1,0.5166666666666667,0.9833333333333333,7-BCU,baseball glove; cup; person; tie,
23321,0,0,0.0,0.0,1-VLS,person,
23409,2,2,0.51875,0.9770833333333333,7-BCU,person; tie,
23506,0,0,0.0,0.0,1-VLS,,
23767,1,1,0.45208333333333334,0.9875,6-CU,person,
24027,0,1,0.0,0.5375,1-VLS,person,
24176,0,0,0.0,0.0,1-VLS,book,
24534,0,1,0.0,0.98125,1-VLS,person; tie,
24885,0,0,0.0,0.0,1-VLS,scissors,
25477,2,2,0.51875,0.9833333333333333,7-BCU,person; tie,
26036,0,1,0.0,0.7291666666666666,1-VLS,person,
26143,3,2,0.17916666666666667,0.8958333333333334,4-MS,book; chair; person; remote; tie,
26228,1,1,0.23125,0.6916666666666667,5-MCU,book; chair; keyboard; person; tie,
26339,2,2,0.175,0.8895833333333333,4-MS,book; chair; person; remote; tie,
26447,1,1,0.22708333333333333,0.68125,5-MCU,book; chair; person; tie,
