top,right,bottom,left,score,category,frame
119,692,447,0,0.5184318,boat,1677
3,369,327,184,0.65692675,person,2561
182,342,470,221,0.5138619,dog,2561
296,220,469,170,0.73164237,tie,2678
342,540,451,480,0.6064218,person,2790
231,99,410,3,0.51576793,person,2790
377,713,479,598,0.7413902,person,2869
212,437,341,335,0.71017694,person,2869
120,469,260,391,0.6716639,person,2869
328,519,476,421,0.6520952,person,2869
359,248,477,154,0.59527636,person,2869
61,178,441,12,0.5379124,person,2869
182,698,425,590,0.5031628,person,2869
2,720,477,265,0.83309686,person,5512
3,711,466,230,0.7025173,person,5605
3,501,471,4,0.7887183,person,5680
6,692,476,0,0.5948524,person,5764
317,315,368,222,0.69681,car,5875
11,666,468,156,0.7594352,person,6052
120,400,470,179,0.6062078,person,6238
70,154,465,42,0.72407615,person,6612
54,422,446,249,0.71236604,person,6612
57,529,167,416,0.66557574,person,6612
133,660,439,395,0.5651033,person,6612
75,546,467,273,0.5032757,person,6612
197,645,407,578,0.5102879,person,7334
119,553,442,411,0.86502635,person,7528
32,417,471,259,0.82322824,person,7528
56,169,464,41,0.7875437,person,7528
23,706,467,563,0.75188434,person,7528
80,627,196,550,0.64938474,person,7528
132,389,479,8,0.5629715,dog,7763
111,397,473,0,0.5390679,person,7763
135,484,418,410,0.7881725,person,8137
133,531,339,475,0.69387984,person,8137
130,564,262,523,0.59612584,person,8137
64,171,473,47,0.8777566,person,8802
217,516,470,212,0.6958526,person,8802
102,549,414,418,0.59419006,person,8802
59,537,278,432,0.5331867,person,8802
116,349,364,256,0.7702904,person,8997
307,541,341,479,0.5729475,chair,8997
338,716,477,262,0.911911,couch,9120
88,616,204,546,0.68115443,person,9120
17,630,480,0,0.8708132,person,9250
34,395,446,102,0.71488196,person,9437
197,663,473,169,0.6653751,person,9437
29,371,423,108,0.5864656,person,9694
51,289,474,1,0.7967285,person,9807
17,395,443,253,0.53322667,person,9807
176,206,226,177,0.5183462,tie,9807
232,289,397,226,0.9640609,tie,10245
38,454,461,88,0.92573136,person,10245
0,272,23,236,0.5155481,person,10245
165,346,447,83,0.9336368,person,10380
54,595,477,429,0.91425854,person,10380
280,208,400,164,0.65307355,tie,10380
211,311,479,176,0.89149594,person,10514
21,720,478,438,0.75213575,person,10514
48,403,468,41,0.9580511,person,10607
218,293,452,229,0.7702563,tie,10607
0,269,23,237,0.6301881,person,10607
340,712,402,640,0.9549137,cup,10773
147,717,266,628,0.6514995,tv,10773
188,295,446,85,0.9013201,person,11254
35,635,475,454,0.89682454,person,11254
228,527,266,487,0.6211458,person,11254
203,517,231,499,0.5782634,person,11254
23,142,78,104,0.52455807,book,11254
24,685,470,483,0.9440499,person,11920
72,282,475,60,0.90006065,person,11920
59,133,471,0,0.76898444,person,11920
58,480,466,316,0.71414906,person,11920
36,508,480,214,0.94659805,person,12343
68,720,476,474,0.8966491,person,12343
241,367,375,327,0.77784204,tie,12343
103,265,279,56,0.5359035,person,12343
273,301,438,178,0.81990975,person,12502
292,225,419,112,0.79613197,person,12502
158,489,277,429,0.7768985,person,12502
167,639,228,568,0.71982735,person,12502
272,512,476,322,0.6355387,person,12502
143,290,278,245,0.61963403,person,12502
216,410,288,344,0.5817646,person,12502
150,549,192,506,0.5552904,person,12502
166,414,220,371,0.5524481,person,12502
359,135,478,1,0.5364031,person,12502
62,568,474,230,0.9774432,person,13219
245,459,380,383,0.8048879,tie,13219
96,282,283,44,0.6820411,person,13219
243,605,374,562,0.66268337,tie,13219
62,720,480,523,0.6461319,person,13219
47,624,472,386,0.98384964,person,14539
35,274,478,36,0.964563,person,14539
151,341,472,259,0.67917216,person,14539
155,99,347,26,0.6024602,person,14539
47,634,477,187,0.92080534,person,15690
107,719,312,615,0.7549219,person,15690
122,360,371,144,0.6682517,person,15690
304,263,359,221,0.6536027,tie,15690
127,656,235,596,0.57848364,person,15690
133,646,238,547,0.5698812,person,15690
82,325,300,156,0.53653264,person,15690
137,297,293,240,0.8063543,person,16278
205,393,295,297,0.7475137,person,16278
161,212,291,162,0.69815373,person,16278
123,497,295,425,0.65840214,person,16278
228,92,279,57,0.6435845,person,16278
209,584,242,552,0.6230889,person,16278
230,145,279,110,0.61053795,person,16278
237,117,280,88,0.60023445,person,16278
192,553,243,501,0.5954472,person,16278
196,334,243,302,0.53290087,person,16278
326,249,405,210,0.5322358,parking meter,16278
32,679,477,359,0.96643555,person,16438
104,364,376,96,0.85753626,person,16438
256,476,395,435,0.77500427,tie,16438
113,718,322,621,0.74293363,person,16438
259,265,375,206,0.73826206,tie,16438
130,669,260,567,0.70685756,person,16438
138,425,288,314,0.6072694,person,16438
131,494,460,407,0.8541188,person,16632
146,579,322,486,0.8012383,person,16632
136,398,395,316,0.7914122,person,16632
133,299,313,218,0.77930427,person,16632
138,185,309,106,0.7783476,person,16632
224,656,322,565,0.72288716,person,16632
197,665,302,583,0.56886715,person,16632
8,668,475,0,0.8993195,person,16819
100,716,374,584,0.8535513,person,16819
87,578,476,464,0.93261755,person,16956
91,182,350,54,0.92168325,person,16956
98,693,368,585,0.9211179,person,16956
88,308,351,186,0.8938147,person,16956
91,460,361,341,0.8191227,person,16956
166,68,347,22,0.7847309,person,16956
280,482,333,460,0.57341367,bottle,16956
266,335,341,306,0.5416198,skateboard,16956
0,669,472,156,0.96480584,person,17227
26,716,298,606,0.7827059,person,17227
344,233,473,105,0.65760595,book,17227
88,577,476,462,0.92383194,person,17453
90,185,349,60,0.916359,person,17453
99,697,371,582,0.9155748,person,17453
89,307,350,184,0.8979987,person,17453
